industry_code	product_code	product_name
315224	3152241	Men's, junior boys', and little boys' trousers, pants, and slacks	
315224	3152242	Men's and boys' separate dress and sport trousers, pants, & slacks, made from purchased fabric	
315224	3152243	Men's and junior boys' jeans	
315224	3152244	Men's and boys' jeans and jean-cut casual slacks, made from purchased fabrics	
315224	315224P	Primary products	
315224	315224S	Secondary products	
315224	315224SS	Secondary products	
315225	315225	Men's work clothing manufacturing	
315225	3152251	Men's work shirts, made from purchased fabrics	
315225	3152253	Men's and boys' work clothing and washable service apparel (excl. work shirts)	
315225	3152254	Men's work clothing and washable service apparel (excluding work shirts)	
315225	315225M	Miscellaneous receipts	
315225	315225P	Primary products	
315225	315225S	Secondary products	
315225	315225SS	Secondary products	
315228	315228	Other men's and boys' outerwear manufacturing	
315228	3152281	Men's, junior boys', and little boys' nontailored coats, jackets, and vests	
315228	3152282	Men's and boys' nontailored coats, jackets, and vests (exc. ski apparel & work jackets), mfpm	
315228	3152282110	Men's and boys' heavyweight nontailored coats, jackets, and vests (exc. ski apparel & work)	
315228	3152282120	Men's and boys' lightweight nontailored coats, jackets, and vests (exc. ski apparel & work)	
315228	3152283	Men's, junior boys', and little boys' shorts, sweaters, and other outerwear	
315228	3152283011	Men's, junior boys', and little boys' swimwear and shorts	
315228	3152283111	Men's and boys' sweaters, and men's and junior boys' other outerwear	
315228	3152284	Men's and boys' shorts (including dress and athletic) and swimwear, made from purchased fabric	
315228	3152285	Men's, junior boys', and little boys' waterproof outergarments	
315228	3152286	Men's and boys' sweaters, sweatpants, jogging suits, beachwear (exc swimsuits), & ski apparel	
315228	315228M	Miscellaneous receipts	
315228	315228MM	Miscellaneous receipts	
315228	315228P	Primary products	
315228	315228S	Secondary products	
315228	315228SS	Secondary products	
31523-	31523-	Women's & girls' cut & sew apparel mfg	
315231	315231	Women's and girls' lingerie and nightwear mfg	
315231	3152311	Women's and girls' underwear, except foundation garments, made from purchased fabrics	
315231	3152313	Women's and girls' nightwear, except robes, made from purchased fabrics	
315231	3152315	Women's and girls' brassieres, bra-lettes, and bandeaux, made from purchased fabrics	
315231	3152317	Women's, misses', and juniors' corsets, combinations, and accessories	
315231	3152318	Women's & girls' corsets (exc. surgical), girdles, & combinations, made from purchased fabrics	
315231	3152319	Women's and girls' robes and dressing gowns, made from purchased fabrics	
315231	315231M	Miscellaneous receipts	
315231	315231P	Primary products	
315231	315231S	Secondary products	
315232	315232	Women's and girls' blouse and shirt mfg	
315232	3152321	Women's and girls' knit shirts and blouses, made from purchased fabrics	
315232	3152323	Women's and girls' woven shirts and blouses, made from purchased fabrics	
315232	315232M	Miscellaneous receipts	
315232	315232MM	Miscellaneous receipts	
315232	315232P	Primary products	
315232	315232S	Secondary products	
315232	315232SS	Secondary products	
315233	315233	Women's and girls' dress manufacturing	
315233	3152330	Women's and girls' dresses, made from purchased fabrics	
315233	3152331	Women's and girls' dresses	
315233	3152331111	Women's, misses', and juniors' dresses	
315233	3152331221	Girls' dresses	
315233	315233M	Miscellaneous receipts	
315233	315233P	Primary products	
315233	315233S	Secondary products	
315233	315233SS	Secondary products	
315234	315234	Women's and girls' suit, coat, and skirt mfg	
315234	3152341	Women's, misses', juniors', and girls' coats and capes	
315234	3152342	Women's and girls'  tailored coats and capes, including water-repellent	
315234	3152343	Women's and girls' tailored suits and pantsuits	
315234	3152344	Women's and girls' tailored suits and pantsuits, including dress uniforms	
315234	3152345	Women's and girls' skirts, tailored jackets, and vests	
315234	3152345010	Women's and girls' separate skirts	
315234	3152345120	Women's and girls' tailored jackets and vests	
315234	3152346	Women's and girls' skirts, made from purchased fabrics	
315234	3152348	Women's and girls' tailored jackets and vests, except fur and leather	
315234	315234M	Miscellaneous receipts	
315234	315234MM	Miscellaneous receipts	
315234	315234P	Primary products	
315234	315234S	Secondary products	
315234	315234SM	Secondary products and miscellaneous receipts	
315239	315239	Other women's and girls' outerwear mfg	
315239	3152391	Women's, misses' and juniors' washable service apparel	
315239	3152392	Women's and girls' sweaters, including sweater vests, mfpm	
315239	3152393	Women's, misses', and juniors' swimwear	
315239	3152394	Women's and girls' shorts, including tennis skirts, mfpm	
315239	3152395	Women's/misses'/juniors'/girls' slacks, incl. jeans & jean-cut casual slacks	
315239	3152396	Women's and girls' slacks, jeans, & jean-cut casual slacks (exc. sweatpants), mfpm	
315239	3152397	Women's/misses'/juniors' other outerwear & girls' sweaters	
315239	31523970	Women's, misses', and juniors' shorts	
315239	31523971	Women's, misses', and juniors' other outerwear & girls' sweaters	
315239	3152398	Women's and girls' sweatpants, bodysuits, warm-up suits, rompers, & beachwear (exc swimwear)	
315239	315239A	Women's and girls' swimwear, mfpm	
315239	315239E	Women's and girls' washable service apparel, mfpm	
315239	315239M	Miscellaneous receipts	
315239	315239MM	Miscellaneous receipts	
315239	315239P	Primary products	
315239	315239S	Secondary products	
315239	315239T	Women's/girls' other outerwear, incl nontailored coats/jackets/vests & service apparel, mfpm	
31529-	31529-	Other cut and sew apparel manufacturing	
315291	315291	Infants' cut and sew apparel manufacturing	
315291	3152910	Infants' apparel, made from purchased fabrics	
315291	31529101	Infants' underwear and nightwear, made from purchased fabrics	
315291	31529102	Infants' apparel, except underwear and nightwear, made from purchased fabrics	
315291	3152911	Infants' apparel	
315291	31529111	Infants' underwear and nightwear	
315291	31529112	Infants' outerwear	
315291	315291P	Primary products	
315291	315291S	Secondary products	
315292	315292	Fur and leather apparel manufacturing	
315292	3152921	Fur coats, capes, jackets, neck pieces, linings, & other fur garments, accessories, & trimming	
315292	3152925	Leather and sheep-lined clothing	
315292	315292M	Miscellaneous receipts	
315292	315292P	Primary products	
315292	315292S	Secondary products	
315299	315299	All other cut and sew apparel manufacturing	
315299	3152992	Men's and boys' team sport uniforms	
315299	3152993	Women's and girls' team sport uniforms	
315299	3152994	Athletic uniforms	
315299	3152995	Vestments and costumes	
315299	3152997	Apparel 50% or greater plastic or rubber, including raincoats and rubber pants (excl wet suits	
315299	315299M	Miscellaneous receipts	
315299	315299P	Primary products	
315299	315299S	Secondary products	
315991	315991	Hat, cap, and millinery manufacturing	
315991	3159911	Millinery	
315991	3159912	Hat and hat bodies, except cloth and millinery	
315991	3159913	Cloth hats and caps	
315991	3159914	Men's and boys' fabric, straw, and felt hats	
315991	3159915	Women's, girls', and infants' fabric, straw, and felt hats	
315991	3159916	Hat bodies and fabric caps	
315991	315991M	Miscellaneous receipts	
315991	315991P	Primary products	
315991	315991S	Secondary products	
315991	315991SM	Secondary products and miscellaneous receipts	
315992	315992	Glove and mitten manufacturing	
315992	3159921	Gloves and mittens made from woven or purchased knit fabric	
315992	3159923	Gloves and mittens, leather-and-fabric combinations, made from purchased leather and fabrics	
315992	3159925	Gloves and mittens, all leather, made from purchased leather	
315992	315992M	Miscellaneous receipts	
315992	315992P	Primary products	
315993	315993	Men's and boys' neckwear manufacturing	
315993	3159930	Men's and boys' neckwear	
315993	3159931	Men's and boys' neckwear	
315993	31599312	Men's and boys' neckties	
315993	315993121	All silk	
315993	315993127	All polyester	
315993	315993129	Other fabrics, including blends	
315993	31599314	Men's and boys' neckwear, n.e.c., including mufflers and scarfs	
315993	315993M	Miscellaneous receipts	
315993	315993MM	Miscellaneous receipts	
315993	315993P	Primary products	
315993	315993S	Secondary products	
315999	315999	All other accessory and apparel manufacturing	
315999	3159993	Aprons and bibs, plastics and rubberized	
315999	3159995	Leather belts	
315999	3159997	Belts, other than leather	
315999	3159999	Apparel accessories 50 percent or greater plastic/rubber, incl. aprons/bibs, rain/bathing caps	
315999	315999D	Apparel findings, trimmings, and all other fabricated apparel accessories	
315999	315999F	All other fabricated apparel accessories (incl. mostly plastic/rubber) and findings/trimmings	
315999	315999M	Miscellaneous receipts	
315999	315999P	Primary products	
315999	315999S	Secondary products	
316110	31611022	Furs, dressed and dyed or bleached	
316110	3161104	Contract & commission receipts for tanning or finishing leather owned by others	
316110	3161107	Furs, dressed and dyed or bleached	
316110	316110S	Secondary products	
316211	316211	Rubber and plastics footwear manufacturing	
316211	3162111	Protective footwear	
316211	3162114	Shoes with soles vulcanized,molded,or cemented to fabric, rubber or plastic uppers, ex slippers	
316211	316211M	Miscellaneous receipts	
316211	316211P	Primary products	
316211	316211S	Secondary products	
316211	316211SS	Secondary products	
316211	316211SSS	Secondary products	
316212	316212	House slipper manufacturing	
316212	3162120	House slippers	
316212	31621202	House slippers, all types, except socks	
316212	3162121	House slippers, all types, except socks	
316212	316212M	Miscellaneous receipts	
316212	316212P	Primary products	
316212	316212S	Secondary products	
316213	316213	Men's nonathletic footwear manufacturing	
316213	3162130	Men's footwear, except athletic	
316213	3162134	Men's shoes, except athletic	
316213	316213411	Dress and casual shoes and boots, except western	
316213	316213422	Western style boots	
316213	316213441	Workshoes and work oxfords	
316213	316213M	Miscellaneous receipts	
316213	316213P	Primary products	
316213	316213S	Secondary products	
316213	316213SM	Secondary products and miscellaneous receipts	
316213	316213SS	Secondary products	
316214	316214	Women's nonathletic footwear manufacturing	
316214	3162140	Women's footwear, except athletic	
316214	316214A	Women's footwear, except athletic	
316214	316214P	Primary products	
316214	316214S	Secondary products	
316214	316214SS	Secondary products	
316219	316219	Other footwear manufacturing	
316219	3162190	Other footwear, except rubber	
316219	31621903	Athletic shoes, except rubber sole-fabric upper	
316219	31621904	All other footwear, n.e.c.	
316219	3162197	Athletic shoes, except rubber sole/fabric upper	
316219	3162198	All other footwear, including youths' and boys', misses' children's, and infants	
316219	316219P	Primary products	
316219	316219S	Secondary products	
316219	316219SM	Secondary products and miscellaneous receipts	
316991	316991	Luggage manufacturing	
316991	3169910	Luggage	
316991	3169911	Hand luggage	
316991	3169912	Luggage other than hand luggage	
316991	3169913	Suitcases, briefcases, bags, and musical instrument cases	
316991	316991M	Miscellaneous receipts	
316991	316991MM	Miscellaneous receipts	
316991	316991P	Primary products	
316991	316991S	Secondary products	
316991	316991SS	Secondary products	
316992	3169921	Women's and children's handbags and purses	
316992	316992511	All or chiefly leather	
316992	316992541	Other materials, except precious metals	
316993	316993	Other personal leather good manufacturing	
316993	3169930	All other personal leather goods	
316993	31699301	Billfolds, wallets, french purses, clutches, and instrument cases	
316993	31699302	Travel kits, jewelry boxes/cases, compacts, vanity cases, & other personal goods	
316993	3169931	Personal leather goods, nec	
316993	31699311	Billfolds, wallets, french purses, and clutches	
316993	31699312	Travel kits, jewelry boxes/cases, compacts, vanity cases, & other personal goods	
316993	316993511	Billfolds, wallets, french purses and clutches	
316993	316993598	Other personal goods	
316993	316993M	Miscellaneous receipts	
316993	316993MM	Miscellaneous receipts	
316993	316993P	Primary products	
316993	316993S	Secondary products	
316993	316993SM	Secondary products & miscellaneous receipts	
316993	316993SS	Secondary products	
316999	316999	All other leather good manufacturing	
316999	3169991	Boot and shoe cut stock and findings	
316999	3169992	All other leather goods, n.e.c.	
316999	3169994	All other miscellaneous leather goods	
316999	316999M	Miscellaneous receipts	
316999	316999P	Primary products	
316999	316999S	Secondary products	
321114	3211142	Wood poles, piles and posts owned and treated by the same establishment	
321114	3211143	Other wood products owned and treated by the same establishment	
321114	321114311	Railway crossties and mine ties, except switch or bridge	
321114	321114313	Lumber rough and dressed, not edged, treated	
321114	321114319	Other wood treated products including plywood, wood fence pickets, paling, rails	
321211	3212115	Prefinished hardwood plywood made from purchased hardwood plywood	
321212	3212123	Softwood plywood, rough, including touch sanded, interior and exterior	
321212	32121231	Interior softwood plywood, rough, including touch sanded, C-D exterior glue	
321212	32121232	Interior softwood plywood, rough, incl touch sanded, underlayment exterior glue	
321212	32121233	Other interior softwood plywood, rough, including touch sanded	
321212	32121235	Exterior softwood plywood, rough, including touch sanded	
321212	3212125	Softwood plywood, sanded, interior and exterior	
321212	3212127	Softwood plywood specialties	
321212	3212128	Softwood plywood specialties	
321212	3212129	Softwood plywood type products	
321213	3212131	Laminated veneer lumber	
321213	3212132	Other engineered structural wood members, ex. trusses & laminated veneer lumber	
321214	3212141	Wood trusses	
321219	32121911	Particleboard, industrial, incl commercial and shelving, made from particlebd prod at same loca	
321219	3212194	Hardboard made from hardboard produced at the same location	
321219	3212195	Cellulosic fiberboard (insulating board)	
321219	3212196	Hardboard made from purchased hardboard	
321219	3212197	Prefinished particleboard and medium density fiberboard made from purchased mate	
321219	3212198	Prefinished particleboard and medium density fiberboard made from purchased materials	
321219	3212199	Other reconstituted wood products	
321219	32121994	Hardboard made from hardboard produced at the same location	
321219	32121995	Cellulosic fiberboard (insulating board)	
321219	32121997	Hardboard made from purchased hardboard	
321219	32121998	Prefinished particleboard and medium density fiberboard made from purchased materials	
321912	3219125	Hardwood cut stock and dimension	
321912	3219127	Softwood cut stock and dimension	
321918	3219181	Wood moldings, except prefinished moldings made from purchased moldings	
321918	3219183	Prefinished wood moldings made from purchased moldings	
321918	32191871	Oak flooring	
321918	3219187111	Oak flooring (3/4", 1/2", 3/8" T&G and EM strip; 5/16" square edge strip)	
321918	3219187222	Other hardwood flooring	
321920	32192051	Pallets, wood, except skids	
321920	32192052	Wood skids, wood and metal combination pallets and pallet containers	
321991	32199111	Manufactured homes (mobile homes), 13 feet 11 inches or less in width	
321991	3219911131	Manufactured homes (mobile homes), 13 feet 11 inches or less in width	
321991	32199112	Manufactured homes (mobile homes), 14 feet or more in width	
321991	3219911211	Manufactured homes (mobile homes), 14 feet or more in width	
321991	32199113	Manufactured homes (mobile homes), multisection	
321991	3219911311	Manufactured homes (mobile homes), multisection	
321991	3219912	Nonresidential mobile buildings	
321992	3219922	Precut packages for prefabricated stationary wood buildings (complete units)	
321992	3219923	Panelized buildings sold as complete units	
321992	3219924	Modular buildings shipped with floors and walls, and usually ceilings and roofs	
321992	321992444	Residential	
321992	321992447	Nonresidential, including motels and hotels	
321999	3219991	All other miscellaneous wood products	
322110	3221101	Special alpha and dissolving woodpulp	
322110	3221103	Sulfate woodpulp, including soda	
322110	3221104	Sulfite and other woodpulp	
322110	3221105	Pulp, other than wood, and pulp mill byproducts	
322110	322110S	Secondary products	
322110	322110SS	Secondary products	
322121	3221211	Clay-coated printing and converting paper	
322121	32212111	Clay-coated groundwood printing and converting paper, including prime-coated body stock	
322121	32212112	Clay-coated freesheet printing and converting paper, including prime-coated body stock	
322121	3221213	Uncoated freesheet paper (containing not more than 10 percent mechanical fiber)	
322121	32212131	Bond and writing paper, and form bond in rolls, uncoated freesheet	
322121	32212132	Other writing paper, uncoated freesheet	
322121	32212133	Publication and printing paper, uncoated freesheet, all types	
322121	32212134	Cover and text papers, and all other converting and miscellaneous uncoated freesheet paper	
322121	3221215	Bleached bristols (weight more than 150 g per sq meter), excluding cotton fiber index and bogu	
322121	3221217	Cotton fiber paper (containing 25 percent or more cotton or similar fibers) and thin paper	
322121	3221219	Unbleached kraft (not less than 80 percent) packaging and industrial converting paper	
322121	322121A	Packaging and industrial converting paper, except unbleached kraft	
322121	322121C	Special industrial paper, exc. specialty pkg, incl. absorbent, battery separator, elect. paper	
322121	322121G	Tissue paper and other machine-creped paper	
322121	322121L111	Disposable diapers, except adult, including disposable training pants	
322121	322121L121	Disposable incontinent pads, bed pads, and adult diapers	
322121	322121N3	Toilet tissue, retail pkgs, rolls and ovals, facial tissue type, two-ply or more	
322121	322121N5	Paper towels, industrial pkgs (rolled, folded, and interfolded), made in paper mills	
322121	322121N6	Paper towels	
322121	322121N8	Other sanitary tissue paper products	
322121	322121U	Unbleached kraft (not less than 80 percent) pkg & industrial converting and construction paper	
322130	3221302	Bleached packaging & industrial converting paperboard (80 percent or more virgin bleached wood	
322130	3221303	Semichemical paperboard (>75% virgin wood pulp)	
322130	3221304	Recycled paperboard	
322211	3222115	Corrugated and solid fiber boxes, including pallets	
322211	322211511	Corrugated shipping containers for food and beverages, and carryout boxes for re	
322211	322211513	Corrugated shipping containers for paper and allied products	
322211	322211517	Corrugated shipping containers for metal and electrical products	
322211	322211519	Corrugated shipping containers for all other end uses not specified	
322211	322211558	Other corrugated and solid fiber products, including point-of-purchase displays	
322211	322211567	Corrugated paperboard in sheets and rolls, lined and unlined	
322212	32221201	Folding paperboard boxes for dry food and produce, including pet and animal food	
322212	32221202	Folding paperboard boxes for bottled and canned beverages,incl. alcoholic and non-alcoholic	
322212	32221203	Folding paperboard boxes for cosmetic and medicinal products	
322212	32221204	Folding paperboard boxes for paper goods or products, including book mailers	
322212	32221205	Folding paperboard boxes for fresh bakery products, butter, and ice cream and food pails	
322212	32221206	Folding paperboard boxes and packaging components for all other end uses	
322212	3222121	Folding paperboard boxes, except sanitary food containers, classified by end use	
322212	322212114	Dry food and produce, incl. pet and animal food	
322212	322212121	Bottled and canned beverages	
322212	322212131	Soaps and detergents	
322212	322212141	Tobacco	
322212	322212151	Hardware and household supplies	
322212	322212171	Cosmetics and medicinal products	
322212	32221217101	Cosmetics	
322212	32221217102	Medicinal products	
322212	322212181	Paper goods or products, including book mailers	
322212	322212195	Folding carry-out boxes and trays for retail food	
322212	322212198	All other end uses, n.e.c.	
322212	3222122	Folding sanitary containers for liquid, moist, oily or perishable foods	
322212	322212201	Bakery, fresh	
322212	322212202	Butter and ice cream packages and food pails	
322212	322212203	Processed meat, margarine, lard and shortening	
322212	322212204	Other, including frozen foods	
322212	3222123	Folding paperboard boxes, packaging and packaging components	
322212	322212M	Miscellaneous receipts	
322213	322213	Setup paperboard box manufacturing	
322213	3222130	Setup (rigid) paperboard boxes	
322213	3222131	Setup (rigid) paperboard boxes	
322213	322213M	Miscellaneous products	
322213	322213P	Primary products	
322213	322213S	Secondary products	
322213	322213SS	Secondary products	
322214	322214	Fiber can, tube, and drum manufacturing	
322214	3222141	Paperboard fiber drums with ends of any material	
322214	3222142	Fiber cans, tubes, and similar fiber products	
322214	322214221	Fiber cans, all fiber and composite	
322214	322214231	Fiber cores and tubes	
322214	322214285	Other paperboard products and all vulcanized fiber products	
322214	3222143	Fiber cans, tubes, and similar fiber products	
322214	32221431	Fiber cans, all fiber and composite	
322214	32221432	Fiber cores and tubes	
322214	32221433	Paperboard cones, reels, spools, bobbins, blocks, and all vulcanized fiber products	
322214	322214P	Primary products	
322214	322214S	Secondary products	
322214	322214SS	Secondary products	
322215	322215	Nonfolding sanitary food container mfg.	
322215	3222151	Milk and milk-type paperboard cartons, including  juice, beverage, and other products	
322215	3222153	Cups and liquid-tight paper and paperboard containers	
322215	3222155	Other sanitary paper and paperboard food containers, boards, and trays, except folding	
322215	322215P	Primary products	
322215	322215S	Secondary products	
322215	322215SS	Secondary products	
322221	322221	Coated and laminated packaging materials mfg	
322221	3222211	Single-web paper, rolls and sheets, including waxed, for flexible packaging uses	
322221	3222213	Multiweb laminated rolls and sheets, except foil, for flexible packaging uses	
322221	322221P	Primary products	
322221	322221S	Secondary products	
322222	322222	Coated and laminated paper manufacturing	
322222	3222221	Printing paper, coated at establishments other than where paper was produced	
322222	3222223	Gummed products	
322222	3222225	Pressure-sensitive products	
322222	32222252	Pressure-sensitive single-faced tape, film backing, excluding electrical	
322222	32222253	All other pressure-sensitive tape, excluding surgical and rubber-backed	
322222	32222254	Pressure-sensitive base stock for labels	
322222	32222259	All other pressure-sensitive products	
322222	3222226	Wallcoverings	
322222	3222227	Gift wrap paper	
322222	3222228	Converted foil for nonpackaging applications	
322222	3222229	Other coated and processed papers, except for packaging uses	
322222	322222A	Gift wrap paper	
322222	322222B	All other coated and processed papers	
322222	322222M	Miscellaneous receipts	
322222	322222MM	Miscellaneous receipts	
322222	322222P	Primary products	
322222	322222S	Secondary products	
322223	322223	Plastics, foil, and coated paper bag mfg	
322223	3222231	Specialty bags, pouches, and liners, coated and single-web paper	
322223	3222233	Specialty bags, pouches, & liners, multiweb laminations & foil, except film-film	
322223	322223P	Primary products	
322224	322224	Uncoated paper and multiwall bag mfg.	
322224	3222241	Uncoated single-web paper grocers' bags and sacks and variety and shopping bags	
322224	32222411	Uncoated paper grocers' bags and sacks	
322224	322224111	Grocers' bags and sacks	
322224	322224112	Variety bags	
322224	322224113	Shopping bags	
322224	322224115	Other uncoated bags	
322224	32222412	Uncoated paper variety bags and pouches (merchandise) and shopping bags	
322224	32222413	All other uncoated paper bags and pouches (including specialty bags, mothproof bags, etc.)	
322224	3222242	Shipping sacks and multiwall bags	
322224	322224211	Single and double wall	
322224	322224212	Multiwall (three or more plies)	
322224	3222243	Shipping sacks and multiwall bags, all materials, except textiles	
322224	32222431	Single and double wall shipping sacks and bags, all materials, except textiles	
322224	32222432	Multiwall (three-ply or more) shipping sacks and bags, all materials, except textiles	
322224	322224M	Miscellaneous receipts	
322224	322224P	Primary products	
322224	322224S	Secondary products	
322225	322225	Flexible packaging foil manufacturing	
322225	3222250	Laminated aluminum foil rolls & sheets for flexible packaging uses	
322225	3222251	Laminated aluminum foil manufacturing	
322225	322225P	Primary products	
322226	322226	Surface-coated paperboard manufacturing	
322226	3222260	Pasted, lined, laminated, or surface-coated paperboard	
322226	3222261	Pasted, lined, laminated or surface-coated paperboard	
322226	322226P	Primary products	
322231	322231	Die-cut paper and paperboard office supplies manufacturing	
322231	3222311	Die-cut paper and paperboard office supplies	
322231	32223111	Hanging and expandable file folders, all types and materials	
322231	32223112	Other file folders (incl. file jackets/pockets), all types and materials	
322231	32223113	Other die-cut paper and paperboard office supplies	
322231	3222313	Paper supplies for business machines and other misc. unprinted office supplies	
322231	322231M	Miscellaneous receipts	
322231	322231P	Primary products	
322231	322231S	Secondary products	
322232	322232	Envelope manufacturing	
322232	3222320	Envelopes, commercial, all types and materials	
322232	3222321	Envelopes, commercial, all types and materials	
322232	322232M	Miscellaneous receipts	
322232	322232P	Primary products	
322232	322232S	Secondary products	
322233	322233	Stationery and related product manufacturing	
322233	3222331	Stationery	
322233	3222332	Tablets and related products	
322233	322233212	Legal pads	
322233	322233213	Tablets and pads, except legal pads	
322233	322233235	Notebooks	
322233	322233245	Looseleaf fillers (school and commercial types)	
322233	322233251	Wrapped ream papers	
322233	322233298	Other tablets and related products	
322233	3222333	Tablets, pads & related products	
322233	32223333	Notebooks, bound with wire (except columnar), staples, thread, or plastics	
322233	32223334	Looseleaf paper fillers, school and commercial types	
322233	32223335	Wrapped ream paper	
322233	32223336	All other miscellaneous tablets, pads, and related products	
322233	322233M	Miscellaneous receipts	
322233	322233P	Primary products	
322233	322233S	Secondary products	
322291	3222911	Sanitary napkins and tampons (not made in paper mills)	
322291	32229151	Facial tissues and handkerchiefs, including sputum wipes, made from purchased materials	
322291	32229152	Paper table napkins, industrial & retail pkgs, bulk & dispenser types, mfpm	
322291	32229153	Toilet tissue, retail packages, rolls and ovals, made from purchased materials	
322291	32229156	Paper towels (rolled, folded or interfolded), made from purchased materials	
322291	32229158	Other sanitary tissue paper products (except surgical and medical)	
322291	32229159	Other sanitary paper products, made from purchased materials	
323110	323110	Commercial lithographic printing	
323110	3231101	Magazine and periodical printing (lithographic) (offset)	
323110	3231103	Label and wrapper printing (lithographic) (offset)	
323110	3231105	Catalog and directory printing (lithographic) (offset)	
323110	3231107	Financial and legal printing (lithographic) (offset)	
323110	3231109	Advertising printing (lithographic) (offset)	
323110	32311091	Direct mail advertising printing (lithographic) incl. circulars, cards, etc.	
323110	32311092	Advertising printing (lithographic) except direct mail advertising	
323110	32311093	Advertising printing (lithographic) except direct mail advertising	
323110	323110B	General job printing, nec (lithographic) (offset)	
323110	323110M	Miscellaneous receipts	
323110	323110P	Primary products	
323110	323110S	Secondary products	
323110	323110SS	Secondary products	
323111	323111	Commercial gravure printing	
323111	3231111	Magazine and periodical printing, gravure	
323111	3231112	Label and wrapper printing, gravure	
323111	3231113	Catalog and directory printing, gravure	
323111	3231114	Label and wrapper printing (gravure)	
323111	3231115	Advertising printing, gravure	
323111	3231116	Other commercial printing, gravure	
323111	3231117	Advertising printing (gravure)	
323111	3231118	Catalog and directory printing, gravure	
323111	3231119	Other commercial and general job printing (gravure)	
323111	323111A	Magazine, periodical, catalog and directory printing (gravure)	
323111	323111A1	Magazine and periodical printing (gravure)	
323111	323111A8	Catalog and directory printing (gravure)	
323111	323111P	Primary products	
323111	323111S	Secondary products	
323111	323111SS	Secondary products	
323112	323112	Commercial flexographic printing	
323112	3231121	Label and wrapper printing (flexographic)	
323112	3231123	Other commercial and general job printing (flexographic)	
323112	323112M	Miscellaneous receipts	
323112	323112P	Primary products	
323112	323112S	Secondary products	
323113	3231131	Screen printing, except on textiles	
323113	3231131112	Screen printed labels	
323113	3231131211	Screen printed advertising materials	
323113	3231131346	Screen printed decalcomanias and pressure sensitives (self-adhesive)	
323113	3231131411	Screen printing, nec, except on textiles	
323113	3231133	Screen printing on garments, apparel, and other fabric articles	
323114	323114	Quick printing	
323114	3231140	Quick printing mfg	
323114	3231141	Quick printing	
323114	323114M	Miscellaneous receipts	
323114	323114P	Primary products	
323114	323114S	Secondary products	
323115	323115	Digital printing	
323115	3231150	Digital commercial printing	
323115	3231151	Digital printing	
323115	323115M	Miscellaneous receipts	
323115	323115P	Primary products	
323115	323115S	Secondary products	
323116	323116	Manifold business forms printing	
323116	3231161	Unit set business forms, loose or bound	
323116	32311611	Unit set business forms, label/form combination and stock forms	
323116	32311614	All other unit set business forms	
323116	3231163	Manifold books and pegboard accounting systems	
323116	3231165	Custom continuous business forms	
323116	32311651	Custom continuous business forms, label/form combination, jumbo roll-feed, & self-mailer types	
323116	32311652	Custom continuous business forms, one-part, with or without product affixed	
323116	32311655	All other custom continuous business forms, multiple-part, with one-time carbon	
323116	3231167	Stock continuous business forms	
323116	3231169	Checkbooks, incl. inserts and refills, excl. continuous and die-cut	
323116	323116M	Miscellaneous receipts	
323116	323116P	Primary products	
323116	323116S	Secondary products	
323116	323116SS	Secondary products	
323118	323118	Blankbook and looseleaf binder manufacturing	
323118	3231181	Blankbook making, except checkbooks	
323118	3231183	Looseleaf binders, devices, and forms	
323118	323118M	Miscellaneous receipts	
323118	323118P	Primary products	
323118	323118S	Secondary products	
323119	323119	Other commercial printing	
323119	3231190	All other commercial printing, n.e.c.	
323119	32311903	Label and wrapper printing (letterpress)	
323119	32311909	Advertising printing (letterpress)	
323119	3231190C	Other commercial and general job printing (letterpress)	
323119	3231190C1	Magazine, periodical, catalog, directory, financial, and legal printing (letterpress)	
323119	3231190C2	Other commercial and general job printing (letterpress)	
323119	3231190E	Engraving (printing)	
323119	3231193	Label and wrapper printing (letterpress)	
323119	3231197	Financial and legal printing, letterpress	
323119	3231199	Advertising printing (letterpress)	
323119	323119B	Other general job printing, letterpress	
323119	323119C	Other commercial and general job printing (letterpress)	
323119	323119C1	Magazine, periodical, catalog, directory, financial, and legal printing (letterpress)	
323119	323119C122	Financial and legal printing (letterpress)	
323119	323119C2	Other commercial and general job printing (letterpress)	
323119	323119E	Engraving (printing)	
323119	323119M	Miscellaneous receipts	
323119	323119P	Primary products	
323121	323121	Tradebinding and related work	
323121	3231211	Edition, library, and other hardcover bookbinding	
323121	3231213	Other book and pamphlet binding and related binding and post-press work, nec	
323121	3231215	Softcover, pamphlet, sample book, and other binding of books and materials printed elsewhere	
323121	3231217	Miscellaneous binding and postpress work	
323121	323121M	Miscellaneous receipts	
323121	323121P	Primary products	
323121	323121S	Secondary products	
323122	323122	Prepress services	
323122	3231221	Prepress services, except platemaking	
323122	3231223	Printing plates, prepared for printing, excl. blank plates	
323122	323122M	Miscellaneous receipts	
323122	323122P	Primary products	
323122	323122S	Secondary products	
324110	32411013	Motor gasoline, including finished base stocks and blending agents	
324110	324110134	Regular gasoline	
324110	324110135	Mid-premium gasoline	
324110	324110136	Premium gasoline	
324110	3241102	Jet fuel	
324110	3241103	Kerosene, except jet fuel	
324110	3241104	Light fuel oils	
324110	324110411	Home heating oil and other distillates, NEC	
324110	324110413	Diesel fuel	
324110	3241105	Heavy fuel oils, including No. 5, No. 6, heavy diesel, gas enrichment oils, etc.	
324110	3241107	Lubricating oil and greases, made in a refinery	
